A 0 1 2 3 4 5 6 7 8 9 . - + E
0 1 1 1 1 1 1 1 1 1 1 38 16 16 -1
1 1 1 1 1 1 1 1 1 1 1 6 -1 -1 2
2 4 4 4 4 4 4 4 4 4 4 -1 3 3 -1
3 5 5 5 5 5 5 5 5 5 5 -1 -1 -1 -1
4 4 4 4 4 4 4 4 4 4 4 -1 -1 -1 -1
5 5 5 5 5 5 5 5 5 5 5 -1 -1 -1 -1
6 8 8 8 8 8 8 8 8 8 8 -1 -1 -1 7
7 14 14 14 14 14 14 14 14 14 14 -1 13 13 -1
8 8 8 8 8 8 8 8 8 8 8 -1 -1 -1 9
9 10 10 10 10 10 10 10 10 10 10 -1 11 11 -1
10 10 10 10 10 10 10 10 10 10 10 -1 -1 -1 -1
11 12 12 12 12 12 12 12 12 12 12 -1 -1 -1 -1
12 12 12 12 12 12 12 12 12 12 12 -1 -1 -1 -1
13 15 15 15 15 15 15 15 15 15 15 -1 -1 -1 -1
14 14 14 14 14 14 14 14 14 14 14 -1 -1 -1 -1
15 15 15 15 15 15 15 15 15 15 15 -1 -1 -1 -1
16 18 18 18 18 18 18 18 18 18 18 17 -1 -1 -1
17 19 19 19 19 19 19 19 19 19 19 -1 -1 -1 -1
18 18 18 18 18 18 18 18 18 18 18 24 -1 -1 25
19 19 19 19 19 19 19 19 19 19 19 -1 -1 -1 20
20 22 22 22 22 22 22 22 22 22 22 -1 21 21 -1
21 23 23 23 23 23 23 23 23 23 23 -1 -1 -1 -1
22 22 22 22 22 22 22 22 22 22 22 -1 -1 -1 -1
23 23 23 23 23 23 23 23 23 23 23 -1 -1 -1 -1
24 27 27 27 27 27 27 27 27 27 27 -1 -1 -1 26
25 36 36 36 36 36 36 36 36 36 36 -1 35 35 -1
26 29 29 29 29 29 29 29 29 29 29 -1 28 28 -1
27 27 27 27 27 27 27 27 27 27 27 -1 -1 -1 31
28 30 30 30 30 30 30 30 30 30 30 -1 -1 -1 -1
29 29 29 29 29 29 29 29 29 29 29 -1 -1 -1 -1
30 30 30 30 30 30 30 30 30 30 30 -1 -1 -1 -1
31 33 33 33 33 33 33 33 33 33 33 -1 32 32 -1
32 34 34 34 34 34 34 34 34 34 34 -1 -1 -1 -1
33 33 33 33 33 33 33 33 33 33 33 -1 -1 -1 -1
34 34 34 34 34 34 34 34 34 34 34 -1 -1 -1 -1
35 37 37 37 37 37 37 37 37 37 37 -1 -1 -1 -1
36 36 36 36 36 36 36 36 36 36 36 -1 -1 -1 -1
37 37 37 37 37 37 37 37 37 37 37 -1 -1 -1 -1
38 39 39 39 39 39 39 39 39 39 39 -1 -1 -1 -1
39 39 39 39 39 39 39 39 39 39 39 -1 -1 -1 40
40 42 42 42 42 42 42 42 42 42 42 -1 41 41 -1
41 43 43 43 43 43 43 43 43 43 43 -1 -1 -1 -1
42 42 42 42 42 42 42 42 42 42 42 -1 -1 -1 -1
43 43 43 43 43 43 43 43 43 43 43 -1 -1 -1 -1
